go.opentelemetry.io/otel/exporters/stdout/stdoutlog,https://github.com/open-telemetry/opentelemetry-go/blob/exporters/stdout/stdoutlog/v0.21.0/exporters/stdout/stdoutlog/LICENSE,BSD-3-Clause
go.opentelemetry.io/otel/exporters/stdout/stdoutmetric,https://github.com/open-telemetry/opentelemetry-go/blob/exporters/stdout/stdoutmetric/v1.45.0/exporters/stdout/stdoutmetric/LICENSE,Apache-2.0
go.opentelemetry.io/otel/exporters/stdout/stdoutmetric,https://github.com/open-telemetry/opentelemetry-go/blob/exporters/stdout/stdoutmetric/v1.45.0/exporters/stdout/stdoutmetric/LICENSE,BSD-3-Clause
go.opentelemetry.io/otel/exporters/stdout/stdouttrace,https://github.com/open-telemetry/opentelemetry-go/blob/exporters/stdout/stdouttrace/v1.45.0/exporters/stdout/stdouttrace/LICENSE,Apache-2.0
go.opentelemetry.io/otel/exporters/stdout/stdouttrace,https://github.com/open-telemetry/opentelemetry-go/blob/exporters/stdout/stdouttrace/v1.45.0/exporters/stdout/stdouttrace/LICENSE,BSD-3-Clause
go.opentelemetry.io/otel/log,https://github.com/open-telemetry/opentelemetry-go/blob/log/v0.21.0/log/LICENSE,Apache-2.0
go.opentelemetry.io/otel/log,https://github.com/open-telemetry/opentelemetry-go/blob/log/v0.21.0/log/LICENSE,BSD-3-Clause
go.opentelemetry.io/otel/metric,https://github.com/NVIDIA/dsx-exchange/blob/HEAD/auth-callout/vendor/go.opentelemetry.io/otel/metric/LICENSE,Apache-2.0
go.opentelemetry.io/otel/metric,https://github.com/NVIDIA/dsx-exchange/blob/HEAD/auth-callout/vendor/go.opentelemetry.io/otel/metric/LICENSE,BSD-3-Clause
go.opentelemetry.io/otel/sdk,https://github.com/NVIDIA/dsx-exchange/blob/HEAD/auth-callout/vendor/go.opentelemetry.io/otel/sdk/LICENSE,Apache-2.0
go.opentelemetry.io/otel/sdk,https://github.com/NVIDIA/dsx-exchange/blob/HEAD/auth-callout/vendor/go.opentelemetry.io/otel/sdk/LICENSE,BSD-3-Clause
go.opentelemetry.io/otel/sdk/log,https://github.com/open-telemetry/opentelemetry-go/blob/sdk/log/v0.21.0/sdk/log/LICENSE,Apache-2.0
go.opentelemetry.io/otel/sdk/log,https://github.com/open-telemetry/opentelemetry-go/blob/sdk/log/v0.21.0/sdk/log/LICENSE,BSD-3-Clause
go.opentelemetry.io/otel/sdk/metric,https://github.com/NVIDIA/dsx-exchange/blob/HEAD/auth-callout/vendor/go.opentelemetry.io/otel/sdk/metric/LICENSE,Apache-2.0
go.opentelemetry.io/otel/sdk/metric,https://github.com/NVIDIA/dsx-exchange/blob/HEAD/auth-callout/vendor/go.opentelemetry.io/otel/sdk/metric/LICENSE,BSD-3-Clause
go.opentelemetry.io/otel/trace,https://github.com/NVIDIA/dsx-exchange/blob/HEAD/auth-callout/vendor/go.opentelemetry.io/otel/trace/LICENSE,Apache-2.0
go.opentelemetry.io/otel/trace,https://github.com/NVIDIA/dsx-exchange/blob/HEAD/auth-callout/vendor/go.opentelemetry.io/otel/trace/LICENSE,BSD-3-Clause
go.opentelemetry.io/proto/otlp,https://github.com/NVIDIA/dsx-exchange/blob/HEAD/auth-callout/vendor/go.opentelemetry.io/proto/otlp/LICENSE,Apache-2.0
go.uber.org/atomic,https://github.com/uber-go/atomic/blob/v1.11.0/LICENSE.txt,MIT
go.uber.org/multierr,https://github.com/NVIDIA/dsx-exchange/blob/HEAD/auth-callout/vendor/go.uber.org/multierr/LICENSE.txt,MIT
go.uber.org/zap,https://github.com/NVIDIA/dsx-exchange/blob/HEAD/auth-callout/vendor/go.uber.org/zap/LICENSE,MIT
go.yaml.in/yaml/v2,https://github.com/yaml/go-yaml/blob/v2.4.4/LICENSE,Apache-2.0
go.yaml.in/yaml/v3,https://github.com/NVIDIA/dsx-exchange/blob/HEAD/auth-callout/vendor/go.yaml.in/yaml/v3/LICENSE,MIT
golang.org/x/crypto,https://github.com/NVIDIA/dsx-exchange/blob/HEAD/auth-callout/vendor/golang.org/x/crypto/LICENSE,BSD-3-Clause
golang.org/x/net,https://github.com/NVIDIA/dsx-exchange/blob/HEAD/auth-callout/vendor/golang.org/x/net/LICENSE,BSD-3-Clause
golang.org/x/oauth2,https://cs.opensource.google/go/x/oauth2/+/v0.36.0:LICENSE,BSD-3-Clause
golang.org/x/sync/semaphore,https://cs.opensource.google/go/x/sync/+/v0.17.0:LICENSE,BSD-3-Clause
golang.org/x/sync/singleflight,https://cs.opensource.google/go/x/sync/+/v0.22.0:LICENSE,BSD-3-Clause
golang.org/x/sys,https://github.com/NVIDIA/dsx-exchange/blob/HEAD/auth-callout/vendor/golang.org/x/sys/LICENSE,BSD-3-Clause
golang.org/x/sys/cpu,https://cs.opensource.google/go/x/sys/+/v0.47.0:LICENSE,BSD-3-Clause
